p0,p1,objective,elapsed_sec
8,8,0.061,4.833476781845093
16,64,0.064,6.444562911987305
256,16,0.066,8.41141676902771
64,128,0.064,10.608038902282715
8,4,0.061,12.699198961257935
4,16,0.06,14.680602788925171
8,128,0.067,16.657575845718384
8,2,0.063,18.66378903388977
8,512,0.063,20.678568840026855
8,256,0.062,22.678956031799316
