p0,p1,p2,p3,p4,p5,RUNTIME,elapsed_sec
1,1,1,1,1,1,2.79,22.687204122543335
1000,1,25,10,80,800,2.77,26.53522300720215
500,100,1200,5,12,25,2.29,29.838499069213867
2,1,5,40,60,80,2.18,33.875948905944824
